algorithm,p,optimizer_reads,final_reads,maximum_iterations,initial_parameters,qiskit_parameter_names,result,reads,probability,surrogate_qubo_energy,exact_repaired_qubo_energy,match,matched_ip_obj,flow_bits,repaired_aux_bits,repaired_full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],35,1,0.001953125,357.5800937500055,365.59539999999987,not_in_gurobi_pool,,1000000001011100101,01100101011000000,100000000101110010101100101011000000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],39,1,0.001953125,370.13216875000444,367.4604000000001,not_in_gurobi_pool,,1000110001010001111,01000101011000110,100011000101000111101000101011000110,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],50,1,0.001953125,401.0055437500014,387.64669999999984,not_in_gurobi_pool,,1000110100000110011,01010101011000001,100011010000011001101010101011000001,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],45,1,0.001953125,388.3612937499961,396.37659999999977,not_in_gurobi_pool,,1100000000100001101,00100000010000000,110000000010000110100100000010000000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],49,1,0.001953125,399.49736875000394,396.8255999999999,not_in_gurobi_pool,,0100110100001100111,00010001011100011,010011010000110011100010001011100011,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],41,1,0.001953125,372.8957437500094,402.2851999999998,not_in_gurobi_pool,,0001010010010100010,00000101010000011,000101001001010001000000101010000011,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],43,1,0.001953125,384.021218749991,402.7235999999998,not_in_gurobi_pool,,0100010010010001010,00000001011100110,010001001001000101000000001011100110,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],44,1,0.001953125,385.81371875000445,404.5160999999998,not_in_gurobi_pool,,0011110101011100000,10000100010100000,001111010101110000010000100010100000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],47,1,0.001953125,397.4877937499996,405.5031,not_in_gurobi_pool,,1101110010011001101,00000001010100000,110111001001100110100000001010100000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],48,1,0.001953125,397.6973937500022,405.71269999999987,not_in_gurobi_pool,,0000000101000001101,01100101011000000,000000010100000110101100101011000000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],53,1,0.001953125,410.3174687499993,407.6456999999998,not_in_gurobi_pool,,1000111101010100010,01000111110000011,100011110101010001001000111110000011,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],46,1,0.001953125,390.6392187499855,409.3415999999999,not_in_gurobi_pool,,0100001101010100001,10000101110000000,010000110101010000110000101110000000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],51,1,0.001953125,406.12329375000127,414.1385999999999,not_in_gurobi_pool,,0010111101110010011,00000100000101101,001011110111001001100000100000101101,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],52,1,0.001953125,407.13429375000146,415.14959999999996,not_in_gurobi_pool,,1010111111011101011,00000111010100010,101011111101110101100000111010100010,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],54,1,0.001953125,415.08451874999946,433.78689999999983,not_in_gurobi_pool,,1010110000100110011,00000000010101001,101011000010011001100000000010101001,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],57,1,0.001953125,438.4556687500017,435.7838999999998,not_in_gurobi_pool,,1010110000001001100,00010100011100000,101011000000100110000010100011100000,true,single,36,1.0e-10,64
QAOA_reduced_surrogate,2,128,512,25,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],61,1,0.001953125,443.2362687500031,440.5644999999997,not_in_gurobi_pool,,1001000000110011011,00100000000000100,100100000011001101100100000000000100,true,single,36,1.0e-10,64
