source_summary,algorithm,run_label,time_basis_column,time_basis_sec,event,hits,total_reads,hit_rate,hit_rate_wilson95_low,hit_rate_wilson95_high,tts95_sec
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74011;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.150092515,global,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74012;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.200683086,top50,4,32768,0.0001220703125,4.74717522044e-05,0.000313858532991,1.64809457185
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74012;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.200683086,top10,3,32768,9.1552734375e-05,3.11366690761e-05,0.000269165614305,2.19745942914
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74012;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.200683086,global,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74013;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.347887256,top50,2,32768,6.103515625e-05,1.67382009031e-05,0.000222536080664,3.51674360387
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74013;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.347887256,top10,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74013;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.347887256,global,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74014;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.181794625,top50,2,32768,6.103515625e-05,1.67382009031e-05,0.000222536080664,3.26796453826
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74014;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.181794625,top10,0,32768,0,0,0.000117218277939,Inf
ds_mfg_vqe_reduced_flow_objective_v3/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74014;optimizer_reads=128;final_reads=32768;maximum_iterations=25,solve_time_sec,2.181794625,global,0,32768,0,0,0.000117218277939,Inf
