algorithm,seed,result,reads,probability,surrogate_qubo_energy,exact_repaired_qubo_energy,match,matched_ip_obj,flow_bits,repaired_aux_bits,repaired_full_bits,optimizer_reads,final_reads,maximum_iterations,initial_parameter_count,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
VQE_reduced_surrogate,73005,1456,2,0.000244140625,505.5046437500041,534.8940999999998,not_in_gurobi_pool,,0001000001010110011,00100101010000001,000100000101011001100100101010000001,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1810,2,0.000244140625,560.4604187499765,536.4144999999999,not_in_gurobi_pool,,1100000011010000010,00101001011000111,110000001101000001000101001011000111,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1762,2,0.000244140625,552.744443749991,539.3856000000001,not_in_gurobi_pool,,0000000011010000010,01101101011000111,000000001101000001001101101011000111,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1490,2,0.000244140625,510.9586437499986,540.3480999999996,not_in_gurobi_pool,,0001000111010010010,00100101010000101,000100011101001001000100101010000101,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1878,2,0.000244140625,572.1501437500015,558.7912999999999,not_in_gurobi_pool,,1101100000000110010,00110001010000001,110110000000011001000110001010000001,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1879,2,0.000244140625,572.1611437500032,558.8022999999998,not_in_gurobi_pool,,1011100000000110010,00110100010000001,101110000000011001000110100010000001,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1907,2,0.000244140625,575.9331437500048,562.5742999999999,not_in_gurobi_pool,,1101100000101101010,00100000000000010,110110000010110101000100000000000010,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,2084,2,0.000244140625,600.1236937499962,565.3907,not_in_gurobi_pool,,1110110000000001110,00010000011110110,111011000000000111000010000011110110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1727,2,0.000244140625,547.8770187500149,566.5793999999997,not_in_gurobi_pool,,0001000100001100101,00110101010000000,000100010000110010100110101010000000,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1885,2,0.000244140625,573.1470687500052,570.4752999999996,not_in_gurobi_pool,,1101111110001011010,00000101100100100,110111111000101101000000101100100100,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1835,2,0.000244140625,565.3693937500091,573.3847000000003,not_in_gurobi_pool,,1110111101001110010,00000101010110001,111011110100111001000000101010110001,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1920,2,0.000244140625,577.1951687500061,574.5233999999997,not_in_gurobi_pool,,0001100001100001011,00100000000000110,000110000110000101100100000000000110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1921,2,0.000244140625,577.1951687499984,574.5233999999997,not_in_gurobi_pool,,0001000001100001011,00100000000000110,000100000110000101100100000000000110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1941,2,0.000244140625,580.3870687500068,577.7152999999997,not_in_gurobi_pool,,1101110001110001011,00000000000101110,110111000111000101100000000000101110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1945,2,0.000244140625,581.104568749997,578.4327999999996,not_in_gurobi_pool,,1100000001111011010,00100000010000100,110000000111101101000100000010000100,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1953,2,0.000244140625,582.0240687500147,579.3522999999998,not_in_gurobi_pool,,1101111111000001011,00000101100100110,110111111100000101100000101100100110,128,8192,25,152,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73005,1964,2,0.000244140625,583.2280687500024,580.5562999999999,not_in_gurobi_pool,,1101100011010001011,00100001010000110,110110001101000101100100001010000110,128,8192,25,152,true,single,36,1.0e-10,64
