algorithm,trial,seed,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,number_of_reads,maximum_iterations,number_of_layers,initial_parameters,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
QAOA,1,32001,43,1,0.0078125,867.8774999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001001100000010101,100100110000001010101100100001000100,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,44,1,0.0078125,871.1859999999999,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000101100001001100,000010110000100110011000111111001100,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,45,1,0.0078125,876.6028999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100111111001100001,110011111100110000110100111010100011,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,46,1,0.0078125,877.0384999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001000010011001110,100100001001100111001101010101100100,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,47,1,0.0078125,881.3787999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0110110111011001000,011011011101100100001100000110010000,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,48,1,0.0078125,886.9148999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100001101111100101,110000110111110010100011000001101010,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,49,1,0.0078125,905.4562999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000010100011110000,100001010001111000000111000111000001,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,50,1,0.0078125,909.4721999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010110010100010010,101011001010001001001000011001001001,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,51,1,0.0078125,913.5411999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010100010000001110,101010001000000111001110001011100001,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
QAOA,1,32001,52,1,0.0078125,914.3717999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001110110101000100,100111011010100010000101100101100100,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64
