algorithm,seed,optimizer_reads,final_reads,maximum_iterations,initial_parameter_count,result,reads,probability,surrogate_qubo_energy,exact_repaired_qubo_energy,match,matched_ip_obj,flow_bits,repaired_aux_bits,repaired_full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
VQE_reduced_surrogate,73001,128,512,25,152,54,1,0.001953125,404.4859437500054,391.12709999999987,not_in_gurobi_pool,,1011101100001001000,10010111000000000,101110110000100100010010111000000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,58,1,0.001953125,417.33501874999956,393.2890999999999,not_in_gurobi_pool,,1101101000001011011,00010101100000100,110110100000101101100010101100000100,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,49,1,0.001953125,398.30636874998345,395.63460000000003,not_in_gurobi_pool,,0100001000001110011,00010101110000001,010000100000111001100010101110000001,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,55,1,0.001953125,410.2069437499979,396.8480999999999,not_in_gurobi_pool,,1101101100011010000,10010101100000000,110110110001101000010010101100000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,50,1,0.001953125,401.0522937499991,409.06759999999974,not_in_gurobi_pool,,0100000001111100011,00100000010000011,010000000111110001100100000010000011,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,57,1,0.001953125,412.083468750001,409.4116999999997,not_in_gurobi_pool,,1000110111010001010,01000101011000110,100011011101000101001000101011000110,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,51,1,0.001953125,401.92479375000175,409.94010000000003,not_in_gurobi_pool,,1011110001011010111,00000100010100101,101111000101101011100000100010100101,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,52,1,0.001953125,402.48729375000084,410.5025999999999,not_in_gurobi_pool,,0100111110110100011,00000001000101011,010011111011010001100000001000101011,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,47,1,0.001953125,393.2958187500078,411.9981999999999,not_in_gurobi_pool,,0001010101011001100,00000101010000000,000101010101100110000000101010000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,48,1,0.001953125,397.3358187499982,416.03819999999996,not_in_gurobi_pool,,1001111101110000100,00000101000001000,100111110111000010000000101000001000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,60,1,0.001953125,426.0341937499961,434.04949999999985,not_in_gurobi_pool,,0001010100000011011,00010101010000100,000101010000001101100010101010000100,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,66,1,0.001953125,450.50824374999456,437.1493999999997,not_in_gurobi_pool,,1101010100110000000,10001000000101000,110101010011000000010001000000101000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,67,1,0.001953125,450.7102437499823,437.3513999999999,not_in_gurobi_pool,,1101100001001000000,10101001010000000,110110000100100000010101001010000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,59,1,0.001953125,420.33451875000355,439.03689999999983,not_in_gurobi_pool,,1100110100111101000,10000000010101000,110011010011110100010000000010101000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,56,1,0.001953125,411.36904375001177,440.7584999999998,not_in_gurobi_pool,,1001100100011000100,00110101010000000,100110010001100010000110101010000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,69,1,0.001953125,454.1872437499994,440.82839999999965,not_in_gurobi_pool,,1101101100010100010,00010101100000011,110110110001010001000010101100000011,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,64,1,0.001953125,444.7525687499924,442.08079999999995,not_in_gurobi_pool,,1110000110011010010,00100000011100101,111000011001101001000100000011100101,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,62,1,0.001953125,434.5821937500182,442.5974999999998,not_in_gurobi_pool,,0001101010001010000,10000111100000000,000110101000101000010000111100000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,73,1,0.001953125,467.4777187499685,443.43179999999995,not_in_gurobi_pool,,1110000001010000000,10101000011100000,111000000101000000010101000011100000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,63,1,0.001953125,436.1350937499967,444.15039999999965,not_in_gurobi_pool,,1011110000111000100,00000000000101000,101111000011100010000000000000101000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,65,1,0.001953125,448.7075687499987,446.0358000000001,not_in_gurobi_pool,,1110000101011001010,00100000011100110,111000010101100101000100000011100110,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,61,1,0.001953125,429.05351875000724,447.75589999999977,not_in_gurobi_pool,,0100110000111100100,00000000010101000,010011000011110010000000000010101000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,72,1,0.001953125,465.9437437499919,452.58489999999983,not_in_gurobi_pool,,0100110011010000000,10001001011100000,010011001101000000010001001011100000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,70,1,0.001953125,459.2466687499964,456.5748999999999,not_in_gurobi_pool,,1100100111011000100,00100001011000000,110010011101100010000100001011000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,68,1,0.001953125,451.0645937499985,459.0798999999999,not_in_gurobi_pool,,0100001101011100100,00000101110000000,010000110101110010000000101110000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,82,1,0.001953125,502.8316187500018,478.7856999999999,not_in_gurobi_pool,,1101101000000011011,00010101100000100,110110100000001101100010101100000100,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,71,1,0.001953125,461.729718749991,480.4321000000001,not_in_gurobi_pool,,0110101000001010010,00010101010100101,011010100000101001000010101010100101,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,79,1,0.001953125,485.5689687499878,482.8971999999999,not_in_gurobi_pool,,0100000010001011010,00100001011000100,010000001000101101000100001011000100,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,77,1,0.001953125,475.42789374998983,483.44319999999976,not_in_gurobi_pool,,1100000110001000100,00100001011000000,110000011000100010000100001011000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,74,1,0.001953125,469.71081875000687,488.41319999999973,not_in_gurobi_pool,,1010101010001000100,00000111010000000,101010101000100010000000111010000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,80,1,0.001953125,491.64046875000236,488.96869999999984,not_in_gurobi_pool,,1101101010010001001,10000101100000000,110110101001000100110000101100000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,75,1,0.001953125,472.1984187500052,490.9007999999998,not_in_gurobi_pool,,0001110101001010100,00000101010000000,000111010100101010000000101010000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,76,1,0.001953125,472.6294187500041,491.3317999999998,not_in_gurobi_pool,,0001110001001001101,00000101010000000,000111000100100110100000101010000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,84,1,0.001953125,505.56364375002454,492.2047999999999,not_in_gurobi_pool,,0001101100010100100,00010111100000000,000110110001010010000010111100000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,87,1,0.001953125,516.4492187499998,492.40329999999994,not_in_gurobi_pool,,1000111001011000011,01001111110000111,100011100101100001101001111110000111,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,81,1,0.001953125,501.3479687500055,498.6761999999999,not_in_gurobi_pool,,0100110111010101011,00000001011100010,010011011101010101100000001011100010,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,83,1,0.001953125,504.19756874999416,501.5258000000001,not_in_gurobi_pool,,1001101101011101111,00000111100000010,100110110101110111100000111100000010,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,89,1,0.001953125,518.883143750001,505.52430000000004,not_in_gurobi_pool,,1000001111011001101,01000111110000000,100000111101100110101000111110000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,90,1,0.001953125,519.2467687500034,516.5749999999998,not_in_gurobi_pool,,1101110100000011010,00010001010100100,110111010000001101000010001010100100,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,86,1,0.001953125,516.2872937499972,524.3026,not_in_gurobi_pool,,0000000100001000111,01110101011000111,000000010000100011101110101011000111,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,85,1,0.001953125,506.2950187499994,524.9974,not_in_gurobi_pool,,1110101100001000100,00010101010100000,111010110000100010000010101010100000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,98,1,0.001953125,541.1962437500006,527.8374,not_in_gurobi_pool,,0110010101001100011,00000000011110011,011001010100110001100000000011110011,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,105,1,0.001953125,553.247318750002,529.2013999999998,not_in_gurobi_pool,,0110110100011000100,00010000011110000,011011010001100010000010000011110000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,106,1,0.001953125,554.3084187499819,530.2624999999998,not_in_gurobi_pool,,1010000111001000011,00101100011000111,101000011100100001100101100011000111,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,94,1,0.001953125,535.4993687500084,532.8275999999998,not_in_gurobi_pool,,1000000100111101111,01100000010000010,100000010011110111101100000010000010,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,102,1,0.001953125,546.9722437500016,533.6134000000001,not_in_gurobi_pool,,1110110101111000010,00001000010111111,111011010111100001000001000010111111,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,92,1,0.001953125,527.2882937500067,535.3035999999997,not_in_gurobi_pool,,0000100001010011011,01100101011000100,000010000101001101101100101011000100,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,103,1,0.001953125,548.8948437500005,535.5359999999998,not_in_gurobi_pool,,1101101101000100100,00000101100000000,110110110100010010000000101100000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,88,1,0.001953125,517.7890187500029,536.4914000000003,not_in_gurobi_pool,,1110111001010001011,00000101010110110,111011100101000101100000101010110110,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,97,1,0.001953125,539.6492687500026,536.9774999999998,not_in_gurobi_pool,,1100000010110001101,00100000010000000,110000001011000110100100000010000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,91,1,0.001953125,521.3371187500013,540.0395,not_in_gurobi_pool,,0100110110110000110,00000000010101111,010011011011000011000000000010101111,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,99,1,0.001953125,542.7232687499898,540.0514999999998,not_in_gurobi_pool,,1010011111010000000,10001111010100000,101001111101000000010001111010100000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,107,1,0.001953125,555.5434437500016,542.1846,not_in_gurobi_pool,,1000011111011010010,01000111110000101,100001111101101001001000111110000101,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,95,1,0.001953125,537.8887937500049,545.9040999999999,not_in_gurobi_pool,,0001010111011100100,00000101010000000,000101011101110010000000101010000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,93,1,0.001953125,531.3680187500013,550.0704000000002,not_in_gurobi_pool,,0110101111010000100,00000101010100000,011010111101000010000000101010100000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,115,1,0.001953125,583.2866187499951,559.2407000000001,not_in_gurobi_pool,,1110000100001011011,00110000011100100,111000010000101101100110000011100100,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,108,1,0.001953125,565.5014687499854,562.8297,not_in_gurobi_pool,,1110000110001010001,10100000011100000,111000011000101000110100000011100000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,96,1,0.001953125,539.6023437499887,568.9918,not_in_gurobi_pool,,1010011010000100011,00000111010100011,101001101000010001100000111010100011,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,104,1,0.001953125,550.3709187499958,569.0732999999998,not_in_gurobi_pool,,1011110010001000100,00000100010100000,101111001000100010000000100010100000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,109,1,0.001953125,574.3510687499972,571.6792999999996,not_in_gurobi_pool,,1101100110010011011,00100001010000100,110110011001001101100100001010000100,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,116,1,0.001953125,585.4321437499927,572.0732999999998,not_in_gurobi_pool,,0101001100011100011,00010101100000011,010100110001110001100010101100000011,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,100,1,0.001953125,542.9122437500023,572.3016999999998,not_in_gurobi_pool,,1110000000111000100,00100000010100000,111000000011100010000100000010100000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,101,1,0.001953125,543.1632437499939,572.5527000000001,not_in_gurobi_pool,,0110101010001001010,00000101010100110,011010101000100101000000101010100110,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,117,1,0.001953125,585.9271437499833,572.5682999999999,not_in_gurobi_pool,,0101000010011000011,00101001010000111,010100001001100001100101001010000111,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,110,1,0.001953125,575.6205687499937,572.9487999999997,not_in_gurobi_pool,,1010100111001001001,10100100011000000,101010011100100100110100100011000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,118,1,0.001953125,586.9251437499968,573.5663,not_in_gurobi_pool,,0011111101001000000,10001111000100000,001111110100100000010001111000100000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,111,1,0.001953125,576.8740687500001,574.2022999999998,not_in_gurobi_pool,,1011110010110001011,00000000000101110,101111001011000101100000000000101110,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,112,1,0.001953125,579.4195687499976,576.7477999999999,not_in_gurobi_pool,,0100000101011011001,10100001011000000,010000010101101100110100001011000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,113,1,0.001953125,579.6740687500085,577.0022999999999,not_in_gurobi_pool,,0011111100010000100,00010111000100000,001111110001000010000010111000100000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,120,1,0.001953125,592.1881437500008,578.8292999999999,not_in_gurobi_pool,,1101101101011011001,10000101100000000,110110110101101100110000101100000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,114,1,0.001953125,582.6960687500002,580.0242999999997,not_in_gurobi_pool,,1101100111010100010,00100001010000011,110110011101010001000100001010000011,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,126,1,0.001953125,603.26014375,589.9012999999998,not_in_gurobi_pool,,1101101011010000100,00000101100000000,110110101101000010000000101100000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,121,1,0.001953125,592.7980687499976,590.1262999999997,not_in_gurobi_pool,,0011110111011010111,00000100010100101,001111011101101011100000100010100101,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,124,1,0.001953125,596.2005687500043,593.5288,not_in_gurobi_pool,,0010001111011100100,00000111010000000,001000111101110010000000111010000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,123,1,0.001953125,595.9637937500083,603.9790999999998,not_in_gurobi_pool,,1010100100101011000,10100000010000000,101010010010101100010100000010000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,119,1,0.001953125,591.0993187500023,609.8016999999999,not_in_gurobi_pool,,0001010110001101001,10000101010000000,000101011000110100110000101010000000,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,127,1,0.001953125,614.0788687500005,611.4070999999999,not_in_gurobi_pool,,0100110000000110111,00010001011100001,010011000000011011100010001011100001,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,122,1,0.001953125,593.1967187499979,611.8990999999997,not_in_gurobi_pool,,0010011000101100011,00000100000101011,001001100010110001100000100000101011,true,single,36,1.0e-10,64
VQE_reduced_surrogate,73001,128,512,25,152,129,1,0.001953125,615.06476874999,612.3929999999997,not_in_gurobi_pool,,0110010100111000011,00001000010111111,011001010011100001100001000010111111,true,single,36,1.0e-10,64
