p,sigma,trial,seed,number_of_reads,maximum_iterations,initial_parameters,base_fixed_angle_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],26,1,0.0078125,744.1885999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00100000000000000,100110000011101010100100000000000000,316.7055999999998,427.48299999999995,6,,1001100000111010101,100110000011101010111110010000010010,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],27,1,0.0078125,746.2964999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000111000000000,101110111000000110100000111000000000,447.05839999999995,299.23809999999986,5,,1011101110000001101,101110111000000110100100011001001100,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],28,1,0.0078125,776.6248999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10100101010000000,100100001000001000110100101010000000,391.89019999999977,384.7346999999999,7,,1001000010000010001,100100001000001000110000001001010011,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],29,1,0.0078125,790.1262999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00100100011000000,101000011001000110100100100011000000,319.89499999999987,470.2312999999998,7,,1010000110010001101,101000011001000110101011000001001000,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],30,1,0.0078125,791.0122999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00100001011000110,010010011100100101000100001011000110,577.2707999999998,213.74149999999986,7,,0100100111001001010,010010011100100101001000000101000000,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],31,1,0.0078125,818.0670999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10010101100000000,110110110000010000110010101100000000,390.5840999999998,427.48299999999983,8,,1101101100000100001,110110110000010000101001111001100000,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],32,1,0.0078125,820.5825999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00110001011000101,110000000001001001000110001011000101,307.6029999999998,512.9795999999999,10,,1100000000010010010,110000000001001001001011101100010110,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],33,1,0.0078125,821.3515999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00100001011000001,110010011000011001100100001011000001,436.6168999999998,384.7346999999999,7,,1100100110000110011,110010011000011001100000011100010000,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],34,1,0.0078125,826.1250999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000101100000110,110110101000100101100000101100000110,355.8937999999997,470.23130000000003,7,,1101101010001001011,110110101000100101101010000010000100,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],35,1,0.0078125,830.1450999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00100000000000000,110100010011000110100100000000000000,530.9069999999997,299.23810000000003,5,,1101000100110001101,110100010011000110110000101000000100,true,single,36,1.0e-10,64
