algorithm,mode,fake_backend,repeat,transpile_seed,simulator_seed,flow_bits,reads,probability,surrogate_qubo_energy,top50_rank,exact_repaired_qubo_energy,match,matched_ip_obj,repaired_aux_bits,repaired_full_bits
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1101111101110000000,1,0.000244140625,550.6808437499992,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,0101000111110000000,1,0.000244140625,1121.329818749996,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1100001111110000000,1,0.000244140625,727.7445437499935,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1010100000001000000,1,0.000244140625,237.82731874999035,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1001110000001000000,1,0.000244140625,173.78746874999592,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1111110000001000000,1,0.000244140625,708.2100187499811,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1110010100001000000,1,0.000244140625,515.720168749971,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1100110100001000000,1,0.000244140625,184.3809437499849,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1001110100001000000,1,0.000244140625,173.78746874999888,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1001111101001000000,1,0.000244140625,338.08251874999837,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,0000000111001000000,1,0.000244140625,545.2484437499872,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1001110100101000000,1,0.000244140625,198.51361875000498,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1101110100101000000,1,0.000244140625,358.8486437499989,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1100101100101000000,1,0.000244140625,192.6919437499996,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,0000001110101000000,1,0.000244140625,501.09414375001165,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1010101101101000000,1,0.000244140625,426.8485187499971,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1001100000011000000,1,0.000244140625,254.7599937500097,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,0100110000011000000,1,0.000244140625,236.2922437499933,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1110110000011000000,1,0.000244140625,350.88996874998566,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1010101000011000000,1,0.000244140625,238.2622437499997,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1001110100011000000,1,0.000244140625,179.95046875000185,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1001110010011000000,1,0.000244140625,175.45639375000405,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1100011010011000000,1,0.000244140625,565.0564937499864,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1000010110011000000,1,0.000244140625,196.70804374999125,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1011010110011000000,1,0.000244140625,399.92486874999213,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1100110110011000000,1,0.000244140625,100.553268749994,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1001001110011000000,1,0.000244140625,287.28614375000257,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,0111001110011000000,1,0.000244140625,1123.9467937499955,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1000101110011000000,1,0.000244140625,287.1636437500008,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1100111110011000000,2,0.00048828125,223.07009374999416,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1000010101011000000,1,0.000244140625,200.2320437499866,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1000110101011000000,1,0.000244140625,200.23204374999477,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,0100111101011000000,1,0.000244140625,272.3423937499929,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1100001111011000000,1,0.000244140625,382.40614374998586,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1110000000111000000,1,0.000244140625,471.79979374998857,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,0011000100111000000,1,0.000244140625,592.4512187500061,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1001100100111000000,1,0.000244140625,236.73784375001128,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1001110100111000000,2,0.00048828125,119.18001875000618,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1000101100111000000,1,0.000244140625,230.88726875001225,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,0110100010111000000,1,0.000244140625,748.1696687500046,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1111101010111000000,1,0.000244140625,974.6797437500029,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,1001110110111000000,2,0.00048828125,264.3049937500075,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,0000110001111000000,1,0.000244140625,484.4479937500041,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,0000101001111000000,1,0.000244140625,510.78114375001155,,,,,,
QAOA_reduced_surrogate_JuliQAOA_FakeFez_noisy_simulation,model_based_noisy_simulation,FakeFez,1,92001,93001,0110111001111000000,1,0.000244140625,927.6458687499926,,,,,,
