algorithm,seed,sample_budget,flow_bits,visits,probability,top50_rank,exact_repaired_qubo_energy,match,matched_ip_obj,repaired_aux_bits,repaired_full_bits,retained_reason
hill_climb_restarts_repaired_flow,82001,262144,0001110100111010011,10,3.814697265625e-5,48,57.55879999999977,not_in_gurobi_pool,,00000000000001101,000111010011101001100000000000001101,top50
hill_climb_restarts_repaired_flow,82001,262144,0001110100111100011,29,0.000110626220703125,47,57.45779999999977,not_in_gurobi_pool,,00000000000001011,000111010011110001100000000000001011,top50
hill_climb_restarts_repaired_flow,82001,262144,1001110100110000101,17,6.4849853515625e-5,15,16.627499999999586,gurobi_pool,16.6275,00000000000001000,100111010011000010100000000000001000,top50
hill_climb_restarts_repaired_flow,82001,262144,1001110100111001011,5,1.9073486328125e-5,3,12.241499999999789,gurobi_pool,12.2415,00000000000001110,100111010011100101100000000000001110,top50
hill_climb_restarts_repaired_flow,82001,262144,1001110100111010011,7,2.6702880859375e-5,2,11.810499999999749,gurobi_pool,11.8105,00000000000001101,100111010011101001100000000000001101,top50
hill_climb_restarts_repaired_flow,82001,262144,1001110100111100011,19,7.2479248046875e-5,1,11.70949999999975,global_optimum,11.7095,00000000000001011,100111010011110001100000000000001011,top50;best_sampled_flow
hill_climb_restarts_repaired_flow,82001,262144,1001110101010000101,6,2.288818359375e-5,36,22.99249999999971,gurobi_pool,22.9925,00000101010000000,100111010101000010100000101010000000,top50
hill_climb_restarts_repaired_flow,82001,262144,1001110101011001011,1,3.814697265625e-6,28,18.606499999999812,gurobi_pool,18.6065,00000101010000110,100111010101100101100000101010000110,top50
hill_climb_restarts_repaired_flow,82001,262144,1001110101011010011,5,1.9073486328125e-5,25,18.175499999999772,gurobi_pool,18.175500000000003,00000101010000101,100111010101101001100000101010000101,top50
hill_climb_restarts_repaired_flow,82001,262144,1001110101011100011,7,2.6702880859375e-5,22,18.074499999999887,gurobi_pool,18.0745,00000101010000011,100111010101110001100000101010000011,top50
hill_climb_restarts_repaired_flow,82001,262144,1001110110010000101,9,3.4332275390625e-5,31,19.468499999999715,gurobi_pool,19.4685,00000101010000000,100111011001000010100000101010000000,top50
hill_climb_restarts_repaired_flow,82001,262144,1001110110011001011,1,3.814697265625e-6,12,15.082499999999925,gurobi_pool,15.0825,00000101010000110,100111011001100101100000101010000110,top50
hill_climb_restarts_repaired_flow,82001,262144,1001110110011010011,4,1.52587890625e-5,9,14.651499999999885,gurobi_pool,14.651499999999999,00000101010000101,100111011001101001100000101010000101,top50
hill_climb_restarts_repaired_flow,82001,262144,1001110110011100011,12,4.57763671875e-5,6,14.550499999999772,gurobi_pool,14.5505,00000101010000011,100111011001110001100000101010000011,top50
hill_climb_restarts_repaired_flow,82001,262144,1010101100110000101,38,0.00014495849609375,33,21.503899999999703,gurobi_pool,21.503899999999998,00000100000000000,101010110011000010100000100000000000,top50
hill_climb_restarts_repaired_flow,82001,262144,1010101100111001011,12,4.57763671875e-5,19,17.117899999999906,gurobi_pool,17.1179,00000100000000110,101010110011100101100000100000000110,top50
hill_climb_restarts_repaired_flow,82001,262144,1010101100111010011,18,6.866455078125e-5,17,16.686899999999866,gurobi_pool,16.686899999999998,00000100000000101,101010110011101001100000100000000101,top50
hill_climb_restarts_repaired_flow,82001,262144,1010101100111100011,40,0.000152587890625,14,16.58589999999998,gurobi_pool,16.5859,00000100000000011,101010110011110001100000100000000011,top50
hill_climb_restarts_repaired_flow,82001,262144,1010110100111001011,3,1.1444091796875e-5,42,54.907199999999825,not_in_gurobi_pool,,00000000010101110,101011010011100101100000000010101110,top50
hill_climb_restarts_repaired_flow,82001,262144,1010110100111010011,1,3.814697265625e-6,40,54.476199999999785,not_in_gurobi_pool,,00000000010101101,101011010011101001100000000010101101,top50
hill_climb_restarts_repaired_flow,82001,262144,1010110100111100011,5,1.9073486328125e-5,38,54.375199999999786,not_in_gurobi_pool,,00000000010101011,101011010011110001100000000010101011,top50
hill_climb_restarts_repaired_flow,82001,262144,1010110101010000101,7,2.6702880859375e-5,35,22.909899999999823,gurobi_pool,22.9099,00000100011100000,101011010101000010100000100011100000,top50
hill_climb_restarts_repaired_flow,82001,262144,1010110101011001011,2,7.62939453125e-6,27,18.52389999999984,gurobi_pool,18.5239,00000100011100110,101011010101100101100000100011100110,top50
hill_climb_restarts_repaired_flow,82001,262144,1010110101011010011,8,3.0517578125e-5,24,18.0928999999998,gurobi_pool,18.0929,00000100011100101,101011010101101001100000100011100101,top50
hill_climb_restarts_repaired_flow,82001,262144,1010110101011100011,12,4.57763671875e-5,21,17.991899999999916,gurobi_pool,17.9919,00000100011100011,101011010101110001100000100011100011,top50
hill_climb_restarts_repaired_flow,82001,262144,1010110110010000101,20,7.62939453125e-5,30,19.385899999999822,gurobi_pool,19.3859,00000100011100000,101011011001000010100000100011100000,top50
hill_climb_restarts_repaired_flow,82001,262144,1010110110011001011,6,2.288818359375e-5,11,14.999899999999954,gurobi_pool,14.9999,00000100011100110,101011011001100101100000100011100110,top50
hill_climb_restarts_repaired_flow,82001,262144,1010110110011010011,16,6.103515625e-5,8,14.568899999999914,gurobi_pool,14.5689,00000100011100101,101011011001101001100000100011100101,top50
hill_climb_restarts_repaired_flow,82001,262144,1010110110011100011,21,8.0108642578125e-5,5,14.467899999999801,gurobi_pool,14.4679,00000100011100011,101011011001110001100000100011100011,top50
hill_climb_restarts_repaired_flow,82001,262144,1100101100110000101,71,0.000270843505859375,32,21.492899999999736,gurobi_pool,21.492900000000002,00000001000000000,110010110011000010100000001000000000,top50
hill_climb_restarts_repaired_flow,82001,262144,1100101100111001011,22,8.392333984375e-5,18,17.10689999999994,gurobi_pool,17.1069,00000001000000110,110010110011100101100000001000000110,top50
hill_climb_restarts_repaired_flow,82001,262144,1100101100111010011,39,0.000148773193359375,16,16.6758999999999,gurobi_pool,16.6759,00000001000000101,110010110011101001100000001000000101,top50
hill_climb_restarts_repaired_flow,82001,262144,1100101100111100011,86,0.00032806396484375,13,16.574900000000014,gurobi_pool,16.5749,00000001000000011,110010110011110001100000001000000011,top50
hill_climb_restarts_repaired_flow,82001,262144,1100110100111001011,4,1.52587890625e-5,41,54.89619999999986,not_in_gurobi_pool,,00000000010101110,110011010011100101100000000010101110,top50
hill_climb_restarts_repaired_flow,82001,262144,1100110100111010011,5,1.9073486328125e-5,39,54.46519999999982,not_in_gurobi_pool,,00000000010101101,110011010011101001100000000010101101,top50
hill_climb_restarts_repaired_flow,82001,262144,1100110100111100011,5,1.9073486328125e-5,37,54.36419999999982,not_in_gurobi_pool,,00000000010101011,110011010011110001100000000010101011,top50
hill_climb_restarts_repaired_flow,82001,262144,1100110101010000101,29,0.000110626220703125,34,22.898899999999855,gurobi_pool,22.8989,00000001011100000,110011010101000010100000001011100000,top50
hill_climb_restarts_repaired_flow,82001,262144,1100110101011001011,5,1.9073486328125e-5,26,18.512899999999874,gurobi_pool,18.512900000000002,00000001011100110,110011010101100101100000001011100110,top50
hill_climb_restarts_repaired_flow,82001,262144,1100110101011010011,14,5.340576171875e-5,23,18.081899999999834,gurobi_pool,18.0819,00000001011100101,110011010101101001100000001011100101,top50
hill_climb_restarts_repaired_flow,82001,262144,1100110101011100011,20,7.62939453125e-5,20,17.98089999999995,gurobi_pool,17.980900000000002,00000001011100011,110011010101110001100000001011100011,top50
hill_climb_restarts_repaired_flow,82001,262144,1100110110010000101,49,0.000186920166015625,29,19.374899999999855,gurobi_pool,19.3749,00000001011100000,110011011001000010100000001011100000,top50
hill_climb_restarts_repaired_flow,82001,262144,1100110110011001011,13,4.9591064453125e-5,10,14.988899999999987,gurobi_pool,14.9889,00000001011100110,110011011001100101100000001011100110,top50
hill_climb_restarts_repaired_flow,82001,262144,1100110110011010011,31,0.000118255615234375,7,14.557899999999947,gurobi_pool,14.5579,00000001011100101,110011011001101001100000001011100101,top50
hill_climb_restarts_repaired_flow,82001,262144,1100110110011100011,49,0.000186920166015625,4,14.456899999999834,gurobi_pool,14.456900000000001,00000001011100011,110011011001110001100000001011100011,top50
