algorithm,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,number_of_reads,maximum_iterations,number_of_layers,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension,repaired_match,repaired_aux_bits,repaired_full_bits,repaired_qubo_energy,raw_to_repaired_qubo_gap,aux_hamming_to_repaired,repaired_matches_gurobi_pool,repaired_matches_global_optimum,repaired_ip_objective_if_pool
QAOA,28,1,0.015625,1260.6305999999995,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0010110001011101001,001011000101110100100111011100001010,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000100011100000,001011000101110100110000100011100000,533.9094999999998,726.7210999999998,13,false,false,
QAOA,29,1,0.015625,1298.1163999999994,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1101011101000010001,110101110100001000111110100101100110,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000101100100000,110101110100001000110000101100100000,742.3884999999996,555.7278999999999,7,false,false,
QAOA,30,1,0.015625,1395.3799999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0101011101010011011,010101110101001101100011111101001010,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101100100100,010101110101001101100000101100100100,967.8969999999995,427.4830000000002,8,false,false,
QAOA,31,1,0.015625,1424.2302999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0101000010101010001,010100001010101000110000011010010010,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,10100000000000000,010100001010101000110100000000000000,996.7472999999998,427.48299999999995,6,false,false,
QAOA,32,1,0.015625,1430.9967999999994,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100110010100100101,010011001010010010100010011100010110,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000010101000,010011001010010010100000000010101000,747.0239999999997,683.9727999999998,10,false,false,
QAOA,33,1,0.015625,1469.6330999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100011010001101000,010001101000110100000000110001110110,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000101110100000,010001101000110100010000101110100000,999.4017999999996,470.2312999999999,9,false,false,
QAOA,34,1,0.015625,1470.1415999999995,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1101000110111010000,110100011011101000011110011110101110,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,10100000000000000,110100011011101000010100000000000000,615.1755999999997,854.9659999999998,10,false,false,
QAOA,35,1,0.015625,1475.9185999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0101111110011101000,010111111001110100011111011001000100,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000101100100000,010111111001110100010000101100100000,791.9457999999997,683.9728,10,false,false,
QAOA,36,1,0.015625,1519.0628999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0101101110000110100,010110111000011010010000010110011010,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101100000000,010110111000011010000000101100000000,1091.5798999999995,427.4830000000002,8,false,false,
QAOA,37,1,0.015625,1601.3754999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0011100110000101110,001110011000010111010110100000110100,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100100010000010,001110011000010111000100100010000010,1131.1441999999997,470.2312999999999,7,false,false,
QAOA,38,1,0.015625,1604.2909999999995,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100000001110101010,110000000111010101011011111001000111,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100000001000010,110000000111010101000100000001000010,749.3249999999996,854.9659999999999,10,false,false,
