angle_source,p,number_of_reads,maximum_iterations,gamma_sign,guarantee_3regular_maxcut,initial_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension,repaired_match,repaired_aux_bits,repaired_full_bits,repaired_qubo_energy,raw_to_repaired_qubo_gap,aux_hamming_to_repaired,repaired_matches_gurobi_pool,repaired_matches_global_optimum,repaired_ip_objective_if_pool
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],26,1,0.0078125,672.7214999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000001110110010101,000000111011001010100001010100000101,true,single,36,1.0e-10,64,not_in_gurobi_pool,01000101000000000,000000111011001010101000101000000000,416.2316999999997,256.48979999999995,8,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],27,1,0.0078125,673.2744,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100101101111010101,110010110111101010100010101101100100,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000001000000000,110010110111101010100000001000000000,331.288,341.9864,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],28,1,0.0078125,688.9317999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000111100001000001,100011110000100000111011001101011001,true,single,36,1.0e-10,64,not_in_gurobi_pool,11011111110000000,100011110000100000111011111110000000,389.6936999999997,299.23810000000003,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],29,1,0.0078125,696.4866999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100001010001000010,110000101000100001011001001101000001,true,single,36,1.0e-10,64,not_in_gurobi_pool,00001101110000111,110000101000100001000001101110000111,482.7451999999998,213.74150000000003,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],30,1,0.0078125,700.5476999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010000110101000101,101000011010100010101100000010010000,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100000010000000,101000011010100010100100000010000000,615.0510999999997,85.49659999999994,2,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],31,1,0.0078125,701.3166999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100111010011000000,110011101001100000011000001001100111,true,single,36,1.0e-10,64,not_in_gurobi_pool,10001101101100000,110011101001100000010001101101100000,402.0785999999996,299.23810000000003,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],32,1,0.0078125,709.0306999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010101001100000101,101010100110000010110100101010000001,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000100000000000,101010100110000010100000100000000000,495.2891999999997,213.7415000000001,5,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],33,1,0.0078125,709.6707999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000100110110000100,000010011011000010000101000110010001,true,single,36,1.0e-10,64,not_in_gurobi_pool,01100000010000000,000010011011000010001100000010000000,410.4326999999997,299.2380999999999,5,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],34,1,0.0078125,739.2459999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010101110000000010,101010111000000001001101100011111111,true,single,36,1.0e-10,64,not_in_gurobi_pool,00001110101000111,101010111000000001000001110101000111,226.26639999999992,512.9795999999999,8,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,1,128,25,-1,0.6925,0.393;-0.616,β[0];γ[0],35,1,0.0078125,746.3604999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1101101110011010010,110110111001101001001001000010000001,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101100000101,110110111001101001000000101100000101,276.12919999999974,470.23130000000003,7,false,false,
