angle_source,p,number_of_reads,maximum_iterations,gamma_sign,guarantee_3regular_maxcut,initial_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension,repaired_match,repaired_aux_bits,repaired_full_bits,repaired_qubo_energy,raw_to_repaired_qubo_gap,aux_hamming_to_repaired,repaired_matches_gurobi_pool,repaired_matches_global_optimum,repaired_ip_objective_if_pool
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],21,1,0.0078125,573.8877999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010101101001011010,101010110100101101000000011001001101,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000111010000100,101010110100101101000000111010000100,360.14629999999977,213.74149999999997,5,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],22,1,0.0078125,578.1728,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010101101001100101,101010110100110010100000010010100010,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000110101000000,101010110100110010100000110101000000,407.17959999999977,170.9932000000003,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],23,1,0.0078125,609.1246999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0001000110001000011,000100011000100001101000000010000111,true,single,36,1.0e-10,64,not_in_gurobi_pool,00101101010000111,000100011000100001100101101010000111,395.38319999999976,213.74149999999997,5,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],24,1,0.0078125,610.7435999999998,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0011110110001110011,001111011000111001100000011010010100,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000100010100001,001111011000111001100000100010100001,482.49869999999964,128.24490000000014,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],25,1,0.0078125,612.6626999999999,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001101110001110011,100110111000111001110100111000010101,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000111100000001,100110111000111001100000111100000001,313.4245999999997,299.23810000000014,5,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],26,1,0.0078125,614.2276999999999,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0001100101001110011,000110010100111001110100001110000011,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100011010000001,000110010100111001100100011010000001,443.23449999999974,170.99320000000017,4,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],27,1,0.0078125,616.0936999999999,3.410605131648481e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0001101110001101011,000110111000110101100000010110010010,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000111100000010,000110111000110101100000111100000010,359.6038999999997,256.4898000000002,4,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],28,1,0.0078125,616.6177,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001101101001101010,100110110100110101000001010100000010,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000111100000010,100110110100110101000000111100000010,402.8761999999997,213.74150000000031,3,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],29,1,0.0078125,620.7715999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1101110101111110011,110111010111111001100000101000011001,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000000101001,110111010111111001100000000000101001,449.7783999999997,170.9932,4,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,4,128,25,-1,0.8169,0.6;0.434;0.297;0.159;-0.409;-0.781;-0.988;-1.156,β[0];β[1];β[2];β[3];γ[0];γ[1];γ[2];γ[3],30,1,0.0078125,651.3242999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0110101100001100011,011010110000110001100100101100000111,true,single,36,1.0e-10,64,not_in_gurobi_pool,00010101010100011,011010110000110001100010101010100011,394.8344999999997,256.48980000000006,6,false,false,
