angle_source,p,number_of_reads,maximum_iterations,gamma_sign,guarantee_3regular_maxcut,initial_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension,repaired_match,repaired_aux_bits,repaired_full_bits,repaired_qubo_energy,raw_to_repaired_qubo_gap,aux_hamming_to_repaired,repaired_matches_gurobi_pool,repaired_matches_global_optimum,repaired_ip_objective_if_pool
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],20,1,0.0078125,744.7418999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1110110101011100011,111011010101110001111010001100100011,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000011110011,111011010101110001100000000011110011,146.26570000000004,598.4761999999997,8,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],22,1,0.0078125,747.9555999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0001111100011000101,000111110001100010110011111011010010,true,single,36,1.0e-10,64,not_in_gurobi_pool,00010111100000000,000111110001100010100010111100000000,363.2208999999997,384.7347,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],23,1,0.0078125,753.2495999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0001000011011000011,000100001101100001101000010110000100,true,single,36,1.0e-10,64,not_in_gurobi_pool,00101101010000111,000100001101100001100101101010000111,539.5080999999997,213.7415000000001,9,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],24,1,0.0078125,779.0432999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100100110100000000,110010011010000000001101100000001001,true,single,36,1.0e-10,64,not_in_gurobi_pool,10101000010000000,110010011010000000010101000010000000,437.05689999999976,341.98639999999983,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],25,1,0.0078125,790.4597999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1101111101010000001,110111110101000000100011110010011100,true,single,36,1.0e-10,64,not_in_gurobi_pool,10001101100100000,110111110101000000110001101100100000,362.9767999999997,427.48300000000006,10,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],26,1,0.0078125,797.9857999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1101111111010000011,110111111101000001110011011110010100,true,single,36,1.0e-10,64,not_in_gurobi_pool,00001011100100111,110111111101000001100001011100100111,498.74769999999967,299.23810000000003,7,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],27,1,0.0078125,815.5985999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100100100100000000,110010010010000000001101110001010111,true,single,36,1.0e-10,64,not_in_gurobi_pool,10101000010000000,110010010010000000010101000010000000,217.1223999999998,598.4761999999998,10,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],28,1,0.0078125,826.1245999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100100110100000011,010010011010000001111101001011101001,true,single,36,1.0e-10,64,not_in_gurobi_pool,00101000001000111,010010011010000001100101000001000111,484.1381999999997,341.98639999999995,8,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],29,1,0.0078125,826.9404999999996,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0110111100100101011,011011110010010101100000101000111000,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000000111010,011011110010010101100000000000111010,698.6955999999996,128.24490000000003,3,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],30,1,0.0078125,833.2590999999996,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0101110101011101001,010111010101110100110001101001100000,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000000101100000,010111010101110100110000000101100000,662.2658999999995,170.99320000000012,4,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],31,1,0.0078125,861.6898999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100110100101101010,110011010010110101010101101010111111,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000010101010,110011010010110101000000000010101010,348.71029999999973,512.9796,8,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],32,1,0.0078125,867.4897999999996,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1110001000011000011,111000100001100001100010110000101110,true,single,36,1.0e-10,64,not_in_gurobi_pool,00011101010100111,111000100001100001100011101010100111,525.5033999999997,341.9863999999999,6,false,false,
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,3,128,25,-1,0.7924,0.609;0.459;0.235;-0.422;-0.798;-0.937,β[0];β[1];β[2];γ[0];γ[1];γ[2],33,1,0.0078125,871.1908999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100110110010010001,010011011001001000101111110100110000,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000001011100000,010011011001001000110000001011100000,272.71469999999977,598.4762,12,false,false,
