algorithm,trial,seed,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,number_of_reads,maximum_iterations,number_of_layers,initial_parameters,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension,repaired_match,repaired_aux_bits,repaired_full_bits,repaired_qubo_energy,raw_to_repaired_qubo_gap,aux_hamming_to_repaired,repaired_matches_gurobi_pool,repaired_matches_global_optimum,repaired_ip_objective_if_pool
QAOA,1,32001,26,1,0.0078125,709.1781999999996,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011110101010010111,101111010101001011100001000101101010,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000100010100101,101111010101001011100000100010100101,324.44349999999986,384.73469999999975,9,false,false,
QAOA,1,32001,27,1,0.0078125,737.5769999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010110110100001001,101011011010000100100001010011010100,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000000001011000,101011011010000100110000000001011000,481.08719999999965,256.4898,6,false,false,
QAOA,1,32001,28,1,0.0078125,751.6590999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000111110110001001,000011111011000100101001101110000000,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,11000101000001000,000011111011000100111000101000001000,537.9175999999995,213.7415000000002,5,false,false,
QAOA,1,32001,29,1,0.0078125,782.5932999999995,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100010110010100001,110001011001010000100010100010110111,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000001011100000,110001011001010000110000001011100000,312.36199999999974,470.2312999999998,9,false,false,
QAOA,1,32001,30,1,0.0078125,786.0952999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100000100010011111,110000010001001111100110010110000100,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00110001011000100,110000010001001111100110001011000100,700.5986999999997,85.49660000000006,4,false,false,
QAOA,1,32001,31,1,0.0078125,794.1752999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100010111010001010,110001011101000101011100100001110101,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000111010110,110001011101000101000000000111010110,409.4405999999996,384.73470000000003,9,false,false,
QAOA,1,32001,32,1,0.0078125,794.5522999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010110001010010111,101011000101001011110111011001110100,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000100011100101,101011000101001011100000100011100101,281.5727,512.9795999999999,10,false,false,
QAOA,1,32001,33,1,0.0078125,798.9688999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0001111110010100111,000111111001010011110010011010101111,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000111100000011,000111111001010011100000111100000011,371.4858999999999,427.48299999999983,8,false,false,
QAOA,1,32001,34,1,0.0078125,799.9711999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1110101101011001110,111010110101100111000001100000010010,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101010100110,111010110101100111000000101010100110,543.4813999999999,256.48979999999995,6,false,false,
QAOA,1,32001,35,1,0.0078125,824.2484999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1110101100010010001,111010110001001000111111100100000100,128,20,1,4.39947126081;0.573956956638,true,single,36,1.0e-10,64,not_in_gurobi_pool,10010101001100000,111010110001001000110010101001100000,482.26209999999963,341.9864000000002,8,false,false,
